City,State,Region,PrimaryIndustries,Notes
Minneapolis,MN,Upper Midwest,"Flour milling; grain trading; lumber milling","Powered by St. Anthony Falls on the Mississippi; home to Pillsbury, Washburn-Crosby (later General Mills)."
Chicago,IL,Midwest,"Rail hub; meatpacking/stockyards; steel; grain and commodities trading","Nation's central rail junction; Union Stock Yards (1865-1971); Chicago Board of Trade."
New York City,NY,Northeast,"Finance/banking; port and international trade; garment manufacturing; publishing; corporate headquarters","Wall Street; the country's largest port and financial center throughout the period."
Boston,MA,Northeast,"Finance; textiles and manufacturing; shipping/port","Established early-industrial base (textiles, shoes); major shipping port; shifted toward finance/education over the period."
New Orleans,LA,South (Gulf Coast),"Port and shipping; cotton and sugar exports; oil/petrochemicals (20th c.)","Historic Mississippi River port; relative importance declined vs. rail-connected interior cities after the Civil War."
Atlanta,GA,South (inland),"Rail hub; banking/insurance; manufacturing and distribution","Largely destroyed in 1864; rebuilt as a railroad crossroads; Coca-Cola founded there in 1886."
San Francisco,CA,West Coast,"Port and shipping; banking/finance; manufacturing","Grew explosively in the Gold Rush (1849-); dominant West Coast financial center through the 1906 earthquake and after."
Seattle,WA,Pacific Northwest,"Timber/lumber; shipbuilding; port trade; aircraft manufacturing (20th c.)","Gateway port for the Klondike Gold Rush (1897-98); Boeing founded there in 1916."
Denver,CO,Mountain West,"Mining supply and ore smelting; rail hub; regional trade/distribution","Grew out of the 1858-59 Pike's Peak gold rush; became the Rocky Mountain region's rail and distribution center."
Dallas,TX,South/Southwest,"Cotton trading; banking; rail hub; oil industry (post-1930s)","Grew as a cotton and rail center; East Texas oil boom (from 1930) drove 20th-century growth into banking/insurance."
