Payee,Locations
Bull Run Coffee,0
Sip Coffee,1
Snack Machine,1
Sencha Tea Garden,4
Coffee Mill Cafe,1
Angry Catfish Coffee,1
COFFEE PAW CAFE,1
Caribou,750
Tea Garden,1
Studio 2 Café,1
World Cup,1
Isles and Bun Coffee,1
Kijiji Coffee,1
Black Dog Coffee,1
Brads Coffeehouse,1
Macy's Coffee,10
ROASTING PLANT COFFEE,1
Overlook Coffee,1
Dogwood Coffee,3
Zoe Coffee,1
Corner Coffee,1
Five Watt, 3
James Coffee,4
Target Store,1700
Starbucks,16000
Turtle Bread,3
Not Just Coffee,1
Rustica Bakery,2
True Stone,1
Peet's Coffee & Tea,370
Farm City,1
Moose And Sadies,0
Spyhouse Coffee,7
Black Coffee And Waffle Bar,2
Creators Cup,1
Urban Coffee,0
True Stone Coffee-,0
Dunn Brothers Coffee,48
I am Coffee,1
Peace Coffee,0
Common Root Coffee,1
The Ghostly Store,1
Coffee Cup,1
Nokomis Beach Coffee,1
Cafe Milo,1
Minnesota Farmers Union,1
Java Moose,1
Gray Fox Coffee,4
Foolish Things,1
